"Business_ID","Address","Cuisine","insertedAtTimestamp","Latitude","Longitude","Name","Number of Reviews","Open","Rating","Zip Code"
"XjeGryxde-tQZF_Ewu7NCw","408 Main St","korean","11/10/2021 17:54:21","40.85362690593198","'-73.97489940149883","Gamja Tang Tang","220","N/A","4","07024"
"uaFHoq-a5XqxF-bsOK9_Qg","811 8th Ave","chinese","11/10/2021 17:54:09","40.7616286634162","'-73.98688","Real Kung Fu Little Steamed Buns Ramen","1042","N/A","3.5","10019"
"IhSVn0TaX8xXb3wcQ-fgcA","118A Eldridge St","chinese","11/10/2021 17:54:15","40.71839","'-73.9917399","Vanessa's Dumpling House","2708","N/A","4","10002"
"rpTW8Ozm8q8kN5RWOYSvFA","5-29 46th Ave","mexican","11/10/2021 17:54:51","40.7475815","'-73.9542618","Oaxaca Taco De Revolucion","2","N/A","2.5","11101"
"FXhSEZfIqjMZh4hR0_8jMQ","360 W 42nd Street","chinese","11/10/2021 17:54:05","40.7582902125633","'-73.9925113993899","China Xiang 中国湘","501","N/A","4","10036"
"uVfOB37NyYEGRs5FITM-nQ","221 Smith St","mexican","11/10/2021 17:54:43","40.68431","'-73.99197","Leyenda","264","N/A","4","11201"
"VC1udoc_sbHdFaBr0-bMsA","1378 1st Ave","indian","11/10/2021 17:54:33","40.76873","'-73.9549","Bombay Chowk","111","N/A","4","10021"
"HDoJIH-qW9FqJ5WB-bKTqA","1109 Lexington Ave","korean","11/10/2021 17:54:24","40.7738","'-73.95945","MIGHTY Bowl","119","N/A","4.5","10075"
"xbrQ2dHuQoFJmNxAuOky4A","31 Great Jones St","italian","11/10/2021 17:53:38","40.72693","'-73.99319","Vic's","508","N/A","4","10012"
"PqqnNrUtU7XTKQvUM4cyqQ","65 2nd Ave","mexican","11/10/2021 17:54:43","40.7260849061034","'-73.9897361397743","Bar Verde","333","N/A","4.5","10003"
"NebgteFykeM1gwiVgPcCHw","3600 Broadway","chinese","11/10/2021 17:54:12","40.828384","'-73.948674","The Handpulled Noodle","952","N/A","4","10031"
"xFp3xSQ43J-i7nmJfNBsZA","43 W 24th St","japanese","11/10/2021 17:53:56","40.7433","'-73.99137","Norikoh","572","N/A","4","10010"
"noBCTbD1Ylf5QR7PXy-rkA","78 E 1st St","indian","11/10/2021 17:54:37","40.7232289034083","'-73.9879441220901","Cafe Himalaya","629","N/A","4","10009"
"XaEFFUabnbH8ZF7ccmSAlQ","16 W 8th St","chinese","11/10/2021 17:54:09","40.73264","'-73.99752","South Of The Clouds","231","N/A","4","10011"
"IFZ3_d01uflGixWrrD8_gg","787 9th Ave","indian","11/10/2021 17:54:41","40.76515","'-73.98813","Ariana Afghan Kebab Restaurant","506","N/A","4","10019"
"enDIsmxSG2bQccQWgGNcbg","5-50 50th Ave","japanese","11/10/2021 17:54:00","40.74259","'-73.9546699","Takumen","234","N/A","4","11101"
"10tnq8x2qI7ix7VqVP0rMw","377 Amsterdam Ave","mexican","11/10/2021 17:54:46","40.78251","'-73.97856","Tacombi - Upper West Side","185","N/A","3.5","10024"
"bgMbt6XbOaAu5VNXr5kCdQ","2179 3rd Ave","indian","11/10/2021 17:54:41","40.79965","'-73.93855","Polash","215","N/A","4","10035"
"fyC2cBsQ0FsMJmv0jSworg","1304 2nd Ave","italian","11/10/2021 17:53:34","40.76652","'-73.9598","Donna Margherita","98","N/A","4.5","10065"
"dpCSDy9uefOEcY44FHss2Q","51 W 35th St","korean","11/10/2021 17:54:25","40.7501219","'-73.9862269","Hyo Dong Gak","418","N/A","3.5","10001"
"FXDMFBM-rV2s5MHzA33d2g","764 9th Ave","indian","11/10/2021 17:54:33","40.76415","'-73.98806","Bombay Grill House","282","N/A","4","10019"
"r-EDS_eO70HUgDmOk5_8Qw","237 W 35th St","american","11/10/2021 17:53:44","40.752344","'-73.9914045","Juniper Bar","582","N/A","4","10001"
"e5c8jGklVNKoaURcDsVxgQ","91 Washington St","indian","11/10/2021 17:54:41","40.73706","'-74.03082","Curry Up Now","161","N/A","4","07030"
"4UaeyfC4XYi-Dibn053xzQ","610 Amsterdam Ave","chinese","11/10/2021 17:54:14","40.80019842750732","'-73.96613205041436","Uncle Luoyang","1","N/A","5","10024"
"hcI6TVxFyVNEPXg3rF1bQw","405 W 44th St","mexican","11/10/2021 17:54:50","40.7601356506348","'-73.992057800293","Oaxaca Taqueria","129","N/A","3.5","10036"
"uXsYr76zioJq7jjOKRwQog","218 W 72nd St","japanese","11/10/2021 17:53:57","40.778775","'-73.982884","Shinbashi 72","49","N/A","5","10023"
"FqYgcc7Mk2XrYJ10OGgghQ","220 E 53rd St","indian","11/10/2021 17:54:30","40.757199","'-73.96858","Himalayan Curry House Restaurant and Bar","35","N/A","4.5","10022"
"KaBw8UEm8uZTV6YLsshYrQ","15 W 32nd St","korean","11/10/2021 17:54:22","40.747524574399","'-73.9862626791","Pocha 32","1578","N/A","3.5","10001"
"HKBJGt04_ZSdiIWA_6J8kQ","94 University Pl","mexican","11/10/2021 17:54:52","40.73387","'-73.9930481239834","Tortaria","737","N/A","3.5","10003"
"utM-5navObsVA5sCRHobzA","214 Franklin St","american","11/10/2021 17:53:43","40.73311","'-73.95798","Madre","97","N/A","4.5","11222"
"4eAgPj7eKonKAtk64kgUfQ","39-56 61st St","japanese","11/10/2021 17:53:59","40.7458357","'-73.9035436","Matsuri","165","N/A","4.5","11377"
"rrsjcQVLg2PkIkO_vPjOLw","29-12 23rd Ave","american","11/10/2021 17:53:43","40.7746737","'-73.9136003","The Bonnie","688","N/A","4","11105"
"5mJgmAgKpTbCDdpVs7OFxQ","523 3rd Ave","american","11/10/2021 17:53:50","40.7462","'-73.9774599","Ted's Corner Tavern","210","N/A","4.5","10016"
"nI1UYDCYUTt23TpGxqnLKg","75 9th Ave","chinese","11/10/2021 17:54:08","40.7422762672197","'-74.0048000961542","Buddakan","4140","N/A","4","10011"
"NH7Ws65ZwlmOosiblfGTRw","2036 2nd Ave","indian","11/10/2021 17:54:41","40.78967","'-73.94278","Spice Hut Indian Restaurant","75","N/A","2.5","10029"
